x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y3
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,150,90,995336.9029,12
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,10,95,237236.87,1
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,30,95,4068571.208,0
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,50,95,3258425.479,0
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,70,95,1190904.612,0
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,90,95,1205215.929,0
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,110,95,983830.8698,7
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,130,95,1044123.129,6
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,150,95,839121.8121,6
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,10,99,21099.12044,1
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,30,99,1842482.001,1
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,50,99,2363659.012,1
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,70,99,1491095.582,1
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,90,99,941507.178,5
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,110,99,1386316.31,14
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,130,99,1044225.2,14
0.69,0.12,0.09,0.79,2.272727273,0.242424242,5000,150,99,930158.8817,2
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,10,80,21150.07648,14
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,30,80,18424.51968,14
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,50,80,17926.2415,6
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,70,80,17729.81968,6
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,90,80,17481.49804,6
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,110,80,17729.81968,6
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,130,80,17448.78386,12
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,150,80,17472.4492,12
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,10,85,20270.87754,12
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,30,85,18188.21656,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,50,85,17966.98649,2
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,70,85,17886.4127,5
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,90,85,17690.76611,5
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,110,85,17769.258,5
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,130,85,17734.91381,5
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,150,85,17520.17244,5
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,10,90,20952.60965,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,30,90,18500.4881,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,50,90,17966.98649,3
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,70,90,17788.04626,13
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,90,90,17730.94567,13
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,110,90,17730.94567,3
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,130,90,17827.48459,13
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,150,90,17537.6936,13
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,10,95,20922.77616,9
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,30,95,18490.37491,3
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,50,95,18306.19898,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,70,95,18312.71491,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,90,95,18152.5953,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,110,95,18107.36409,4
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,130,95,17989.04339,10
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,150,95,17989.04339,11
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,10,99,21267.60266,11
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,30,99,18637.92692,12
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,50,99,18372.05422,13
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,70,99,18216.01164,13
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,90,99,18107.36409,6
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,110,99,18050.90831,3
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,130,99,17989.04339,9
0.69,0.12,0.09,0.79,2.727272727,0.242424242,6000,150,99,17889.25852,9
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,10,80,21369.94209,14
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,30,80,18694.80289,12
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,50,80,17926.2415,0
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,70,80,17633.2286,5
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,90,80,17409.7303,5
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,110,80,17355.46131,5
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,130,80,17420.13324,10
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,150,80,17183.53657,9
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,10,85,21482.80298,9
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,30,85,18590.84291,12
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,50,85,18006.42482,12
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,70,85,17809.08681,12
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,90,85,17729.81968,12
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,110,85,17615.42157,8
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,130,85,17672.28217,7
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,150,85,17678.71825,7
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,10,90,22716.47727,11
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,30,90,18710.64761,9
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,50,90,18209.59196,9
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,70,90,17867.31339,1
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,90,90,17849.31192,1
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,110,90,17769.258,1
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,130,90,17654.8599,1
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,150,90,17615.42157,0
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,10,95,22467.36412,14
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,30,95,18823.78718,14
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,50,95,18319.664,14
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,70,95,18209.45412,14
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,90,95,18255.44997,4
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,110,95,17950.36899,14
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,130,95,18089.96187,12
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,150,95,17906.61676,13
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,10,99,22978.15702,11
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,30,99,18650.78414,12
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,50,99,18192.03363,2
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,70,99,18169.22901,2
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,90,99,18089.96187,5
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,110,99,17927.93293,5
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,130,99,17906.61676,1
0.69,0.12,0.09,0.79,3.636363636,0.242424242,8000,150,99,17966.98649,1
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,10,80,23228.71759,9
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,30,80,18663.49223,11
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,50,80,17694.6887,12
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,70,80,17809.08681,7
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,90,80,17520.17244,4
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,110,80,17568.27611,10
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,130,80,17405.756,10
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,150,80,17528.05099,10
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,10,85,23695.6374,10
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,30,85,18590.33565,10
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,50,85,17941.1266,10
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,70,85,17559.22601,2
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,90,85,17448.78386,13
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,110,85,17503.68388,13
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,130,85,17464.63032,9
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,150,85,17488.22219,6
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,10,90,23813.16132,9
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,30,90,18331.45771,3
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,50,90,18066.73636,3
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,70,90,17751.5493,1
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,90,90,17907.53851,0
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,110,90,17788.04626,4
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,130,90,17788.04626,2
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,150,90,17633.2286,2
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,10,95,23587.37703,10
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,30,95,18950.81164,9
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,50,95,18188.21656,3
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,70,95,18209.45412,6
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,90,95,18028.09696,9
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,110,95,18006.42482,6
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,130,95,18046.25362,9
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,150,95,17927.93293,7
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,10,99,23419.4343,11
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,30,99,19247.98155,4
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,50,99,18384.69087,12
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,70,99,18335.50389,7
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,90,99,17807.92081,6
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,110,99,17985.88389,3
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,130,99,17867.56319,8
0.69,0.12,0.09,0.79,4.545454545,0.242424242,10000,150,99,17966.98649,11
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,10,80,23672.07551,14
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,30,80,19428.44018,8
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,50,80,18131.45083,3
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,70,80,17694.6887,0
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,90,80,17769.258,0
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,110,80,17460.35835,0
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,130,80,17448.78386,0
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,150,80,17433.9532,0
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,10,85,23276.78626,1
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,30,85,18864.73417,4
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,50,85,18354.87167,10
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,70,85,17827.48459,10
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,90,85,17711.72049,10
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,110,85,17598.66433,4
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,130,85,17623.17613,6
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,150,85,17488.22219,7
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,10,90,23346.60738,11
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,30,90,19013.34838,10
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,50,90,18105.04881,5
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,70,90,17907.53851,10
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,90,90,17654.8599,6
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,110,90,17751.5493,7
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,130,90,17672.28217,7
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,150,90,17769.258,7
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,10,95,22690.52721,11
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,30,95,19819.04619,11
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,50,95,18374.43833,3
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,70,95,18209.45412,3
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,90,95,17946.05508,3
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,110,95,17886.4127,8
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,130,95,18007.09398,11
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,150,95,17886.4127,11
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,10,99,24977.70783,10
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,30,99,19362.58707,4
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,50,99,18374.43833,4
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,70,99,18006.42482,2
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,90,99,18127.1061,5
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,110,99,18129.4002,5
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,130,99,17886.4127,5
0.69,0.12,0.09,0.79,5.454545455,0.242424242,12000,150,99,18086.47873,5
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,10,80,24723.80363,10
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,30,80,20000.44983,11
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,50,80,18643.22548,11
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,70,80,17448.78386,13
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,90,80,17816.57489,13
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,110,80,17528.05099,13
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,130,80,17327.26531,1
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,150,80,17301.81254,2
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,10,85,25009.23898,10
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,30,85,20285.26708,4
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,50,85,18528.47073,4
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,70,85,18065.64646,4
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,90,85,17711.72049,4
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,110,85,17864.62277,8
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,130,85,17623.17613,7
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,150,85,17433.9532,13
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,10,90,25412.7727,11
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,30,90,19666.55589,11
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,50,90,18409.43636,13
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,70,90,17948.16587,13
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,90,90,17966.46661,2
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,110,90,17576.36801,7
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,130,90,17576.36801,14
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,150,90,17576.36801,9
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,10,95,24560.70423,1
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,30,95,20271.84834,9
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,50,95,18432.00845,0
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,70,95,18209.45412,0
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,90,95,18335.50389,5
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,110,95,18006.42482,5
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,130,95,17867.56319,5
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,150,95,17867.56319,5
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,10,99,24943.46082,10
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,30,99,19709.95264,13
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,50,99,18590.33565,6
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,70,99,17983.99636,1
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,90,99,17946.05508,6
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,110,99,18067.53528,6
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,130,99,17926.2415,9
0.69,0.12,0.09,0.79,6.818181818,0.242424242,15000,150,99,17748.9927,6
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,10,80,25690.36553,11
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,30,80,20910.4546,0
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,50,80,18736.61214,2
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,70,80,18171.04225,10
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,90,80,17538.30455,7
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,110,80,17425.95592,11
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,130,80,17241.48976,7
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,150,80,17042.50831,11
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,10,85,25252.84499,0
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,30,85,20571.37342,11
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,50,85,18832.02894,0
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,70,85,18114.82097,6
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,90,85,17633.2286,6
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,110,85,17537.6936,9
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,130,85,17443.1973,6
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,150,85,17349.72272,7
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,10,90,25591.27092,11
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,30,90,19577.12148,0
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,50,90,19275.03494,8
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,70,90,18114.82097,8
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,90,90,17926.2415,8
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,110,90,17746.30208,4
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,130,90,17553.59469,4
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,150,90,17386.67927,2
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,10,95,25624.52066,10
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,30,95,21035.20259,11
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,50,95,18852.7634,11
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,70,95,18628.69104,11
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,90,95,18009.46025,3
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,110,95,18135.47534,3
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,130,95,17828.88879,3
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,150,95,17788.04626,3
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,10,99,25520.25636,0
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,30,99,20843.63331,11
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,50,99,19460.56235,11
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,70,99,18107.77204,11
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,90,99,18026.109,7
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,110,99,18046.25362,0
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,130,99,17752.65559,0
0.69,0.12,0.09,0.79,9.090909091,0.242424242,20000,150,99,17693.01321,0
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,10,80,30454.76354,11
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,30,80,21307.78126,3
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,50,80,19920.23721,6
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,70,80,18394.94144,9
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,90,80,18007.09398,3
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,110,80,17537.6936,9
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,130,80,17330.48371,8
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,150,80,17038.75364,7
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,10,85,30182.99466,0
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,30,85,22324.58755,12
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,50,85,19845.70542,8
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,70,85,18228.57342,8
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,90,85,17791.77441,8
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,110,85,17738.24419,3
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,130,85,17518.32101,6
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,150,85,17238.08264,6
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,10,90,32607.46679,11
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,30,90,23069.2549,11
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,50,90,19852.55012,10
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,70,90,19021.25916,2
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,90,90,18376.13125,5
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,110,90,17652.09171,5
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,130,90,17775.45586,0
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,150,90,17613.79098,7
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,10,95,32225.38318,11
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,30,95,23647.28309,9
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,50,95,20863.98774,6
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,70,95,18801.55194,9
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,90,95,18678.9626,10
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,110,95,17848.21795,2
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,130,95,17677.87446,2
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,150,95,17775.45586,10
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,10,99,35807.88666,5
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,30,99,23120.15221,11
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,50,99,19801.29094,8
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,70,99,18975.30075,3
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,90,99,18255.44997,8
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,110,99,18050.90831,8
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,130,99,17604.50429,2
0.69,0.12,0.09,0.79,11.36363636,0.242424242,25000,150,99,17618.23207,13
0.735,0.09,0.11,0.8,2.131516,0.393939,5000,10,80,20756.07528,6
0.735,0.09,0.11,0.8,2.131516,0.393939,5000,30,80,343284.1913,6
0.735,0.09,0.11,0.8,2.131516,0.393939,5000,50,80,1368101.369,6
0.735,0.09,0.11,0.8,2.131516,0.393939,5000,70,80,1842137.59,12
